Date,Open,High,Low,Close,Volume,Adj Close
2017-03-17,9.85,9.86,9.74,9.75,5959900,9.75
2017-03-16,9.76,9.87,9.76,9.86,5622400,9.86
2017-03-15,9.94,9.94,9.73,9.81,6521300,9.81
2017-03-14,10.10,10.10,9.86,9.93,8084800,9.93
2017-03-13,9.98,10.07,9.92,10.05,4358100,10.05
2017-03-10,9.99,10.15,9.99,10.01,5371700,10.01
2017-03-09,10.16,10.20,9.98,10.02,8968200,10.02
2017-03-08,10.27,10.37,10.18,10.22,5524400,10.22
2017-03-07,10.40,10.41,10.23,10.29,6538700,10.29
2017-03-06,10.35,10.43,10.20,10.40,9262200,10.40
2017-03-03,10.32,10.43,10.17,10.19,7858100,10.19
2017-03-02,10.33,10.48,10.25,10.26,7565100,10.26
2017-03-01,10.45,10.54,10.34,10.37,8090000,10.37
2017-02-28,10.21,10.41,10.11,10.40,11194900,10.40
2017-02-27,10.23,10.79,10.23,10.38,16681100,10.38
2017-02-24,10.35,10.40,10.15,10.23,9146200,10.23
2017-02-23,10.44,10.58,10.30,10.40,11525900,10.40
2017-02-22,10.24,10.59,10.16,10.44,16999700,10.44
2017-02-21,10.29,10.35,10.19,10.26,8299400,10.26
2017-02-20,9.95,10.36,9.94,10.33,15537800,10.33
2017-02-17,10.13,10.15,9.87,9.93,11672200,9.93
2017-02-16,10.04,10.25,10.04,10.16,8157300,10.16
2017-02-15,10.31,10.31,10.00,10.06,14510200,10.06
2017-02-14,10.41,10.52,10.30,10.31,12371700,10.31
2017-02-13,10.51,10.75,10.42,10.54,19100600,10.54
2017-02-10,10.43,10.66,10.28,10.58,24112800,10.58
2017-02-09,10.26,10.77,10.22,10.42,27068300,10.42
2017-02-08,10.21,10.30,10.06,10.25,13398000,10.25
2017-02-07,10.24,10.40,10.11,10.30,19181300,10.30
2017-02-06,10.10,10.26,9.98,10.25,17124000,10.25
2017-02-03,10.03,10.06,9.83,10.05,11378000,10.05
2017-02-02,9.97,9.97,9.97,9.97,000,9.97
2017-02-01,9.97,9.97,9.97,9.97,000,9.97
2017-01-31,9.97,9.97,9.97,9.97,000,9.97
2017-01-30,9.97,9.97,9.97,9.97,000,9.97
2017-01-27,9.97,9.97,9.97,9.97,000,9.97
2017-01-26,10.20,10.20,9.93,9.97,12041800,9.97
2017-01-25,10.05,10.23,9.93,10.13,15380900,10.13
2017-01-24,10.25,10.27,9.98,10.06,25286800,10.06
2017-01-23,10.37,10.86,10.28,10.47,28658900,10.47
2017-01-20,10.40,10.57,10.28,10.50,25952600,10.50
2017-01-19,10.51,10.60,10.21,10.41,27651600,10.41
2017-01-18,10.88,10.97,10.45,10.66,46847900,10.66
2017-01-17,11.00,11.47,10.50,11.15,68619700,11.15
2017-01-16,9.50,10.45,9.50,10.45,25212200,10.45
2017-01-13,10.07,10.17,9.41,9.50,18713000,9.50
2017-01-12,10.30,10.46,9.88,10.22,30135200,10.22
2017-01-11,9.99,10.31,9.99,10.31,13050100,10.31
2017-01-10,9.33,9.38,9.22,9.37,3557200,9.37
2017-01-09,9.19,9.45,9.19,9.33,4926900,9.33
2017-01-06,9.21,9.25,9.11,9.19,3111700,9.19
2017-01-05,9.12,9.27,9.12,9.22,3636200,9.22
2017-01-04,9.10,9.23,9.06,9.19,4577400,9.19
2017-01-03,9.02,9.12,8.95,9.10,3839000,9.10
2017-01-02,9.01,9.01,9.01,9.01,000,9.01
2016-12-30,9.02,9.09,8.97,9.01,2965200,9.01
2016-12-29,9.02,9.16,9.01,9.04,1861400,9.04
2016-12-28,8.99,9.10,8.93,9.06,2553300,9.06
2016-12-27,9.09,9.13,8.95,9.00,3519200,9.00
2016-12-26,8.96,9.15,8.86,9.10,3385200,9.10
2016-12-23,9.26,9.34,9.10,9.11,3507200,9.11
2016-12-22,9.32,9.35,9.21,9.26,2845100,9.26
2016-12-21,9.25,9.43,9.15,9.37,2987400,9.37
2016-12-20,9.28,9.33,9.20,9.22,2543000,9.22
2016-12-19,9.26,9.37,9.21,9.29,2420700,9.29
2016-12-16,9.49,9.49,9.27,9.32,4171200,9.32
2016-12-15,9.12,9.30,9.06,9.21,2617400,9.21
2016-12-14,9.26,9.31,9.08,9.17,3850300,9.17
2016-12-13,9.32,9.40,9.23,9.31,4032200,9.31
2016-12-12,9.80,9.80,9.20,9.31,7833400,9.31
2016-12-09,9.90,9.95,9.77,9.79,2752300,9.79
2016-12-08,9.96,9.96,9.88,9.89,2193200,9.89
2016-12-07,9.82,9.95,9.79,9.93,2550700,9.93
2016-12-06,9.98,9.98,9.81,9.88,2689600,9.88
2016-12-05,9.80,9.82,9.71,9.78,2348300,9.78
2016-12-02,10.03,10.07,9.81,9.83,4425300,9.83
2016-12-01,10.10,10.12,9.98,10.03,3024500,10.03
2016-11-30,10.04,10.10,9.80,10.05,4531600,10.05
2016-11-29,10.05,10.16,10.01,10.03,4218800,10.03
2016-11-28,10.20,10.21,9.98,10.05,6976100,10.05
2016-11-25,10.49,10.52,10.00,10.21,10533600,10.21
2016-11-24,10.35,10.58,10.30,10.49,9349400,10.49
2016-11-23,10.46,10.50,10.21,10.34,6406800,10.34
2016-11-22,10.48,10.65,10.37,10.47,6800100,10.47
2016-11-21,10.29,10.65,10.23,10.48,8490100,10.48
2016-11-18,10.35,10.48,10.27,10.34,6335800,10.34
2016-11-17,10.45,10.56,10.30,10.49,8677600,10.49
2016-11-16,10.43,10.54,10.25,10.47,13234800,10.47
2016-11-15,9.90,10.79,9.90,10.55,31522000,10.55
2016-11-14,9.79,9.91,9.70,9.88,7033100,9.88
2016-11-11,9.90,10.10,9.84,9.85,7686100,9.85
2016-11-10,9.73,9.95,9.72,9.85,9049100,9.85
2016-11-09,9.88,9.88,9.50,9.66,9564800,9.66
2016-11-08,9.88,9.96,9.82,9.93,7269600,9.93
2016-11-07,9.99,10.03,9.81,9.87,9354500,9.87
2016-11-04,9.99,10.11,9.83,10.04,15270900,10.04
2016-11-03,10.51,10.51,9.98,10.04,28338500,10.04
2016-11-02,9.34,10.22,9.28,10.22,17508500,10.22
2016-11-01,9.29,9.35,9.25,9.29,4046400,9.29
2016-10-31,9.39,9.43,9.19,9.25,4186400,9.25
2016-10-28,9.56,9.62,9.45,9.46,3786100,9.46
2016-10-27,9.63,9.63,9.49,9.58,2938700,9.58
2016-10-26,9.59,9.66,9.55,9.58,3622000,9.58
2016-10-25,9.61,9.65,9.53,9.59,4102100,9.59
2016-10-24,9.49,9.64,9.49,9.61,3922500,9.61
2016-10-21,9.60,9.68,9.41,9.49,4281300,9.49
2016-10-20,9.63,9.66,9.54,9.59,3652500,9.59
2016-10-19,9.72,9.73,9.57,9.62,4944800,9.62
2016-10-18,9.60,9.75,9.56,9.70,5330600,9.70
2016-10-17,9.80,9.87,9.40,9.69,7786500,9.69
2016-10-14,9.61,9.97,9.56,9.86,11022800,9.86
